timestamp,sending_address,receiving_address,amount,transaction_type,location_region,ip_prefix,login_frequency,session_duration,purchase_pattern,age_group,risk_score,anomaly
1618185002,0x9d32d0bf2c00f41ce7ca01b66e174cc4dcb0c1da,0x39f82e1c09bc6d7baccc1e79e5621ff812f50572,67435.0,transfer,Europe,192.0,3,48,focused,established,18.75,low_risk
1698642474,0xd6e251c23cbf52dbd472f079147873e655d8096f,0x51e8fbe24f124e0e30a614e14401b9bbfed5384c,1.0,purchase,South America,172.0,5,61,focused,established,25.0,low_risk
1619180066,0x2e0925b922fed01f6a85d213ae2718f54b8ca305,0x52c7911879f783d590af45bda0c0ef2b8536706f,66211.0,purchase,Asia,192.168,3,74,focused,established,31.25,low_risk
1591413882,0x93efefc25fcaf31d7695f28018d7a11ece55457f,0x8ac3b7bd531b3a833032f07d4e47c7af6ea7bace,14998.0,transfer,South America,172.0,8,111,high_value,veteran,36.75,low_risk
1611257295,0xad3b8de45d63f5cce28aef9a82cf30c397c6ceb9,0x6fdc047c2391615b3facd79b4588c7e9106e49f2,66002.0,sale,Africa,172.16,6,100,high_value,veteran,62.5,moderate_risk
1644911940,0xa99b9a7f5c5dd37429771efd3b93c6fbe1ab2936,0x5a78c88c5fc1e9b512f6c64e266b46a9db0a7238,48446.0,transfer,Africa,192.168,4,66,focused,established,15.75,low_risk
1694024264,0xcca095ad2d508c200bda1141f783d77c3e6cbb08,0xb71a4df291ea8e9996a74e77ab63f5abcbfe90f5,57325.0,sale,South America,192.0,8,103,high_value,veteran,52.5,low_risk
1629563063,0xe0b340171486b08f0c1f4ac607ed776478cefd2b,0x577754308538f4be10a41afb4f8900cd24d7098f,67617.0,sale,South America,192.0,1,32,random,new,50.0,low_risk
1641001663,0xb0b2f6fc707fbb7f9d27a9f4fe0cb0d6b39a0155,0xd6ba299fdd52f09f01d9648036ca446498c01ac2,8408.0,transfer,South America,192.0,4,42,focused,established,15.0,low_risk
1627295224,0x6ea0e02fb6ee893dc3b70b98df1a48165d28eb09,0xc28cbdb253f12174f7aa80ff6c6660f2e09397d7,3890.0,transfer,Europe,172.16,3,79,focused,established,15.0,low_risk
1591301775,0xed50d9894bd4379c934f7d19a60eedbc41af792f,0xe0b340171486b08f0c1f4ac607ed776478cefd2b,47827.0,sale,South America,172.0,8,85,high_value,veteran,52.5,low_risk
1670476805,0xb861dba00f3213878d23606b20e3871f34c12020,0xbdac6e49b5b53147caf71fc95f91c85fb11a778e,70754.0,transfer,Europe,172.16,5,54,focused,established,18.75,low_risk
1590044893,0xfcf9a3467d3d93688fb17b4ebb6b681b1fa29f94,0x6d4f7db757a1bd6bb43029ee13c037651ca20c74,65319.0,purchase,North America,172.16,4,62,focused,established,none,low_risk
